album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;01GIe9m0Cqi9EGkPYlKjMn;Zlatnite Hitove Na XX Vek (The Golden Hits Of XX Century);5gfD8RwJ2Jb8kq4CpSao0u;Pim Pam Vocal Band;2008-02-29;4
single;0SvDTLkr6HwMm2uxHrKo2Y;Garage Sessions;6KhwJKONG2Q2Cr49d2t2dn;Tope.;2019-06-11;4
album;0YCbkVDzNazNavJljlln3x;Relaxing Instrumentals;6S1SPflDwCHMb1TEXjhUBG;Chillout Lounge Bar Music Buddha;2019-09-03;4
album;0emQgwRYJYaRu0CWkfotWv;Study LoFi;5sVCoQzZKvFKyscaL9ro2v;Lo-Fi Jazz Hop Club;2020-11-23;3
album;0rtQWa7hpuf2iVok9yWMcJ;Self Conflict;0mf6dkwLLemfblpzGvWD1o;Dubz;2020-04-17;4
album;1He2XgvSlZrAs33kyV3Inq;12 Natural Ambient Rain Tracks - Great White Noise for Sleep;4wuRZANCBpXAiLpvvlbpWy;Rain Man Sounds;2018-08-31;3
single;2CAnhmcB06PNiDsXqZlZJ2;L$D;5lbxCLaRZ46outRhE0Z9r1;Omar Tesla;2020-10-09;4
album;2LqErDdzgJnxoAujWHcZDY;Regesh, Vol. 11;0wWjQzYJJCJfk6oIiQUwUt;Abish Brodt;2009-11-08;4
album;2Xdp7FuTqJxbaiLuwENUF1;Regesh, Vol. 2;0wWjQzYJJCJfk6oIiQUwUt;Abish Brodt;1984-07-14;4
album;2YJB6fLNw7UodSN6aMLJh4;Ennui da Don;4i51mURgew3gqWPKVYZf4u;Ennui;2020-06-10;4
album;2s8aZjpMlQufRP3mUCyVQg;Concentration Sixty-Four;6qhit5AoGrbso5Pw6JuNiC;Zanders;2020-01-24;4
single;2w7PeMYFRyhSR5LaA0cy0Y;Hoodie Weather;0jlINfbPEBh6l0DyV3UlLn;LVRBOY;2020-08-28;4
single;3026IItFvimwtGgReKOoTB;Ne Tam;6d8o43xT6GFlEMmeqzLtrW;Bunta;2019-06-05;4
album;360a4y2tnIhqEqdPR3e8iA;! ! " - Downpour - " ! !;1vOatyeFzcgIItylCnL80I;Thunderstorm Sleep;2020-12-05;3
single;3DYkYHhCP8MRTUyk3FwTe0;Arizona Love;5BzBHzIq2DRDQWdz56gbng;Royal Jay;2020-07-29;4
album;3EbJLwmPIb6LTsGtQAGbN7;Kokles Janos;5DvXOd3Tf1zmRgerrfUL1M;99 Latvijas Kokles Jāņos;2007-05-01;4
single;3OK7pbEkAYaYDjr7wIyoam;The Art of Let Go;27WHdMEvgzKq6nKcF7DzPw;Carlos Nóbrega;2017-10-13;4
single;3Qsoh2EAEjEWj0Dof3VFNA;1,2,3 вкъщи остани;4ufiTf4QtuBV8aZE7BLiVW;Ballan;2020-03-24;4
album;3hwtpuzMMdbgqeWnyYXqZ6;Christmas Celebration;534BQPRuv9pfWxV65g4H8E;The Prairie Brass Band;2015-11-07;4
album;3t7uXXqgguK2cKVG2Myumc;VERTIGO, Vol. I;3m9H5AP3lEQp8LlzrRzqVA;qbpb;2019-04-04;4
single;3xowrNOHt71eoxndkumtNa;Idk;7MxEDkGWo3zSVxE1AkUmQL;bbbxiety;2020-09-17;4
