album_name,popularity
EL ÚLTIMO TOUR DEL MUNDO,99
Plastic Hearts,89
"Stamina,",80
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],79
Moonwalking in Calabasas (feat. Blueface) [Remix],77
Plastic Hearts,76
KAI - The 1st Mini Album,75
BORDER : DAY ONE,75
Real Shit (with benny blanco),74
BLO II,74
Lil Boat 3.5,73
Breath of Love: Last Piece,73
THE HUSTLE CONTINUES,71
BEBÉ,71
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",71
111 DELUXE,71
weird!,70
Live at the Royal Albert Hall,70
Bedtime Stories Pt. 3,70
Blinding Lights (Remix),68
Errbody,67
FAMILY,67
Secure The Bag! 2,67
Tres,67
TINI TINI TINI,67
A Mi Lado,67
The Parables,66
Dicked Down in Dallas,66
No Time For Tears,66
Punya Paap,66
B.B. King Freestyle,65
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),65
Limbo (Deluxe),65
Nightmare Vacation,65
G.I.H.F.,65
Christmas Blues,65
Poco,65
Miedito o Qué? (feat. KAROL G),65
Step and a step,65
Product of My Environment,65
On Me,64
Coco (feat. DaBaby),64
Smack DVD (feat. Kanye West),64
acting like that (feat. Machine Gun Kelly),64
Death Of An Optimist,64
mars,64
CYR,64
A Friendly Warmth,64
Dream of You (with R3HAB),64
Mi Tío Snoop,64
"Quiet, Heavy Dreams",63
The Lo-Fis,63
LUCID,63
Swimming In The Stars,62
One Whole Day (feat. Wiz Khalifa),62
Más De La Una,62
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],61
Mafia Bidness (Deluxe),61
Wish Me Well 3,61
Welcome To 4 Vegas,61
Lotus Inn,61
Teenage Dream,61
In The Morning,61
The Beauty Around Us,61
The Most Wonderful Time,61
ASOT 992 - A State Of Trance Episode 992 (Including A State Of Trance Classics - Mix 017: Solarstone),61
Vaya Vaya,61
Las Locuras Mías,61
None of Your Love,60
Stay Next To Me (with Chelsea Cutler),60
Trust,60
"Country Things, Vol. 2",60
Martin Garrix presents STMPD RCRDS Vol. 003,60
Christmas Songs,60
No Fun Mondays,60
"Baby, I'm Jealous (feat. Doja Cat) [Natti Natasha Remix]",59
"Let's Love (feat. Sia) [Vintage Culture, Fancy Inc Remix]",59
Dreams (feat. Lanie Gardner),59
I CAN'T STOP ME (English Version),59
Goosebumps EP,59
Selena: The Series Soundtrack,59
Desde Morro,59
Lento,59
Southern Symphony,58
Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),58
No Me Acostumbro,58
The Line Up,58
remember the mornings,58
Better Days (feat. Justin Timberlake),58
Impulse Voices,58
Black Lungs,58
Weight of the False Self,58
BETTER - The 10th Album,58
Slowed Reverb TikTok (Remix),58
All You're Dreaming Of,58
Home Alone (On the Night Before Christmas),58
911 (Sofi Tukker Remix),57
"New Empire, Vol. 2",57
Opp Stoppa,57
SAWAYAMA (Deluxe Edition),57
For Now,57
Small Town Boy,57
Mad World,57
New Shape,57
Recovery,57
First Kiss,57
Deprê,57
What the Future Holds,57
