album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;2d9BCZeAAhiZWPpbX9aPCW;EL ÚLTIMO TOUR DEL MUNDO;4q3ewBCX7sLwd24euuV69X;Bad Bunny;2020-11-27;99
single;16EqCl0UoPe3xSIFg4xO6T;Real Shit (with benny blanco);4MCBfE4596Uoi2O4DtmEMz;Juice WRLD;2020-12-02;74
album;5BRhg6NSEZOj0BR6Iz56fR;Plastic Hearts;5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;2020-11-27;89
single;0GMu98ZhwAoTqk1hzEMicE;Real Shit (with benny blanco);4MCBfE4596Uoi2O4DtmEMz;Juice WRLD;2020-12-02;43
album;0PZ7lAru5FDFHuirTkWe9Z;folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition];06HL4z0CvFAxyc27GXpf02;Taylor Swift;2020-11-25;79
single;1AhcXFOhxnWriMEslx0LC2;Errbody;5f7VJjfbwm532GiveGC0ZK;Lil Baby;2020-12-04;67
single;25gJpQKgXxT5CrMitr0DQO;On Me;5f7VJjfbwm532GiveGC0ZK;Lil Baby;2020-12-04;64
single;6kQlFDnDGI6CnLOhhpvBhd;Errbody;5f7VJjfbwm532GiveGC0ZK;Lil Baby;2020-12-04;46
single;558K8NAxUiu1oKXpnQudEo;On Me;5f7VJjfbwm532GiveGC0ZK;Lil Baby;2020-12-04;46
album;3VaaZ7OIbGLi60NVsnueoo;folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition];06HL4z0CvFAxyc27GXpf02;Taylor Swift;2020-11-25;61
single;7B70Z32Ha84aMT6TOnW410;Blinding Lights (Remix);1Xyo4u8uXC1ZmMpatF05PJ;The Weeknd;2020-12-04;68
single;4Epq84TTM5hHH5jI78R271;B.B. King Freestyle;55Aa2cqylxrFIXC767Z865;Lil Wayne;2020-11-30;65
single;44D99w932R1iCeNU1vCF4E;Home for Christmas;1uNFoZAHBGtllmzznpCI3s;Justin Bieber;2020-12-04;52
single;3ZMd4Oynx3AxSkGbYv1Ss8;B.B. King Freestyle;55Aa2cqylxrFIXC767Z865;Lil Wayne;2020-11-30;48
album;0BCjAmbM8ryCM9gxy5yW7h;Plastic Hearts;5YGY8feqx7naU7z4HrwZM6;Miley Cyrus;2020-11-27;76
album;6ufaA5YvSGK3E9KnRFYvvo;Lil Boat 3.5;6icQOAFXDZKsumw3YXyusw;Lil Yachty;2020-11-27;73
single;1z02WpEdAuImwfySk43owY;Moonwalking in Calabasas (feat. Blueface) [Remix];0WK3H9OErSn5zKOkOV5egm;DDG;2020-12-02;77
single;3IUgnJBu4A8gMeMihYirA3;Manic: Is She Like, You Know… EP;26VFTg2z8YR0cCuwLzESi2;Halsey;2020-12-04;37
album;6zFqKeygTGAmLEF2AXCfZO;THE HUSTLE CONTINUES;5gCRApTajqwbnHHPbr2Fpi;Juicy J;2020-11-27;71
single;27IV43WmSSE9YvMwY6atbX;None of Your Love;6jGMq4yGs7aQzuGsMgVgZR;Lil Tjay;2020-12-04;60
single;0cjc4cqqrmfuP1SLmvi0vi;Are U Live;1anyVhU62p31KFi8MEzkbf;Chance the Rapper;2020-12-04;55
single;2wIHInPRTBuGELQ3tdB3pc;Coco (feat. DaBaby);6fWVd57NKTalqvmjRd2t8Z;24kGoldn;2020-12-04;64
single;2g0Ha2fsHrVBueqWdBGUpB;Oh Santa! (feat. Ariana Grande & Jennifer Hudson);4iHNK0tOyZPYnBU7nGAgpQ;Mariah Carey;2020-12-04;65
single;74RfZ8GZ7kwNPDJYU3kBVW;The Holly & The Ivy;2wY79sveU1sp5g7SokKOiI;Sam Smith;2020-12-04;52
single;5e4br60hsaHtlNn6ejAolK;Violets Are Blue;2wY79sveU1sp5g7SokKOiI;Sam Smith;2020-11-24;48
single;6PRn8rVe5QSK4oIdhAkzU0;Blossom;2wY79sveU1sp5g7SokKOiI;Sam Smith;2020-11-27;40
single;4NN4ubOsW81tSV3lsd45gm;Loves Me, Loves Me Not;2wY79sveU1sp5g7SokKOiI;Sam Smith;2020-12-01;39
album;32IU7kNT0jFZlI2GSYp9lQ;Lil Boat 3.5;6icQOAFXDZKsumw3YXyusw;Lil Yachty;2020-11-27;47
