artist_names,album_name,count
The All-American Rejects,Emo Nite Picks: The All-American Rejects,1
Hotboii,No Limit,1
Young T & Bugsey,New Shape,2
Susatere,Winter,1
NIve,2easy (feat. Heize),1
Spa Music Hour,Water says High Chance to Dream,1
Danger,Haven (Original Game Soundtrack),1
Koralle,Jellyfish,1
Matan Galilov,אמונה ואהבה,1
Chris Ribeiro,Mama,1
Resha Costa,El Wada3 Ya Habibi,1
Kadi Toom,3 ... 4,1
Peety,Itachi,1
Various Artists,The Power,1
Császári PillanatmŰvek,Zöldhullám,2
Gustave Tiger,New Light of Myanmar,1
Gorica Rukavina,Ja sam tvoja sokolica,1
Camilo,BEBÉ,1
Hatebreed,Weight of the False Self,1
Timmy Trumpet,Mad World,1
Gavin Luke,Inversion,1
GIMS,Le fléau,1
Relaxing Radiance,Waves Sounds For Sleeping,1
Yo Yo Honey Singh,First Kiss,1
Amanda Miguel,Happy Xmas (War Is Over),1
The Irrepressibles,Dominance (Leadtowill Remix),1
Awakening Church,"Акустична сесия, Vol. 2",1
Miks Dukurs,"Tumša Nakte, Zaļa Zāle",1
Varga Szabolcs,Pillanat,1
Young BB Young,Obicham ta,1
Elina Born,Kilimanjaro,1
Antract,Nou,1
Brodu,Kif Se Nagħmlu 'żiż?,1
Jack Johnson,The Captain Is Drunk,1
Statik Selektah,The Balancing Act,1
Grupo Codiciado,Loqueando Con Banda Vol. 2,1
Wun Two,snowfall / oscarto,1
Roc Marciano,Mt. Marci,1
Rick Astley,Love this Christmas,1
The Laurie Berkner Band,Deck The Halls,1
Unknown Brain,Hollywood Perfect,2
Asia Renee,12th Dimension Ride,1
Walsh Rio Beatz,Yesterday You Said Tomorrow,1
Bear's Den,"Christmas, Hopefully",2
Killval,Romance for Madness,1
Flavour,Flavour of Africa,1
Bernadette Boulet,The Light Will Return,1
Udit Narayan,Vidhana Kaishan Likhla Vidhan (Bhojpuri),1
Busy Signal,All We Need Is Love (Love Is What We Need),1
Beowülf,bad timing,1
Redfoo,Left Side Brain,1
Авеню,Пътят,1
Kitshickers,Horror Vacui,1
Mad Piet,Am I Mad?,1
NimmerSchmidt,Kellega ma tutvusin?,1
Palmės žiedas,Tutorial,1
Stiliyan,#Zhivotno,1
Mad Show Boys,Romantika,1
Zikney Tzfat,תן לי שלאגר,1
EX Global,Out the 6,1
Clement Magwaza,Umpalakazi,1
Halsey,"Manic: Is She Like, You Know… EP",1
Ludwig van Beethoven,Winter Mood - Beethoven,1
K.Flay,Don't Judge A Song By Its Cover,1
Dimitri Vegas & Like Mike,Santa Claus is Coming to Town,1
Little Baby Bum Nursery Rhyme Friends,Rain Rain Go Away - Playing in Puddles with Friends,1
Franz Schubert,Schubert: Piano Works,1
Badshah,"Heelein Toot Gayi (From \"Indoo Ki Jawani\")",1
Abraham Vazquez,Grande,1
Tenno,The Prophecy,1
